Displacement:0,Displacement:1,Displacement:2,Strain vectors:0,Strain vectors:1,Strain vectors:2,Stress vectors:0,Stress vectors:1,Stress vectors:2,Max shear stress (Tresca),Maximum Principal stress,Median Principal stress,Minimum Principal stress,Von Mises stress,Temperature,Points:0,Points:1,Points:2,Point ID
0,0,0,4.41388e-10,6.15377e-11,-0.0160918,20.4122,20.4122,-2.2355,12.1403,21.2287,20.4122,-3.05198,23.8829,213,1.70316,9.65178,-0.1,2020
0,0,0,3.20954e-06,6.14166e-07,-0.015339,21.6591,21.6555,0.0663955,12.0642,22.9258,21.6579,-1.20272,23.5202,213,0.73835,7.35437,-0.1,2021
0,0,0,1.94121e-05,-3.99953e-07,-0.0151818,21.9649,21.937,0.570601,12.1127,23.3647,21.9686,-0.860778,23.5585,213,0.73835,6.39528,-0.1,2022
0,0,0,4.52225e-10,7.00455e-11,-0.0160147,20.5388,20.5388,-2.00032,12.1341,21.4033,20.5388,-2.86481,23.8476,213,1.57694,7.88026,-0.1,2023
0,0,0,1.01591e-05,3.88765e-07,-0.0155164,21.3886,21.3748,-0.463647,12.0796,22.5376,21.3838,-1.62164,23.6035,213,0.86975,4.80901,-0.1,2024
0,0,0,1.30358e-08,2.13156e-06,-0.0153339,21.6601,21.6631,0.0790263,11.9664,22.8371,21.6609,-1.09572,23.3669,213,0.86975,3.84992,-0.1,2025
0,0,0,1.18703e-06,2.69637e-06,-0.0155772,21.2652,21.2674,-0.659857,12.1,22.4054,21.262,-1.79466,23.6491,213,1.28275,5.61924,-0.1,2026
0,0,0,-2.29504e-06,9.03837e-07,-0.0158994,20.7226,20.7271,-1.6511,11.8431,21.3806,20.7235,-2.3055,23.3645,213,2.1525,4.67371,-0.1,2027
0,0,0,4.07561e-06,-4.70428e-07,-0.0163003,20.0815,20.0751,-2.86547,12.1109,20.7162,20.0806,-3.50566,23.9104,213,2.0211,6.25998,-0.1,2028
0,0,0,9.38869e-06,9.40309e-07,-0.0155326,21.3606,21.3487,-0.513362,12.3184,22.7347,21.3635,-1.90221,23.9807,213,0.86975,2.89083,-0.1,2029
0,0,0,-5.34415e-06,9.48733e-08,-0.015794,20.885,20.8926,-1.33615,12.0301,21.8071,20.8876,-2.2532,23.614,213,1.87644,2.9351,-0.1,2030
0,0,0,3.71813e-10,3.88313e-10,-0.0162219,20.1985,20.1985,-2.6324,12.7934,21.5764,20.1985,-4.01033,24.9264,213,1.00669,1.96245,-0.1,2031
0,0,0,1.3641e-05,4.94083e-07,-0.0156834,21.1252,21.1067,-0.966903,12.2791,22.3475,21.1283,-2.21075,23.9719,213,19.2303,2.89083,-0.1,2032
0,0,0,1.81708e-08,1.72801e-06,-0.0154176,21.5221,21.5245,-0.176727,12.3621,23.0357,21.5228,-1.6886,24.0036,213,19.2303,3.84992,-0.1,2033
0,0,0,-3.77586e-08,-4.24593e-06,-0.0160601,20.4572,20.4513,-2.14585,12.6915,21.8457,20.4542,-3.5373,24.7167,213,19.0933,1.96245,-0.1,2034
0,0,0,4.18451e-10,3.01823e-10,-0.0159724,20.6083,20.6083,-1.87135,12.1386,21.507,20.6083,-2.77008,23.8405,213,18.2236,2.9351,-0.1,2035
0,0,0,2.32462e-05,-9.92748e-07,-0.015262,21.8439,21.8098,0.331288,12.0836,23.159,21.8341,-1.00812,23.5327,213,19.2303,4.80901,-0.1,2036
0,0,0,1.84707e-05,-5.51133e-07,-0.0151449,22.0225,21.9957,0.681493,12.0909,23.4277,22.0261,-0.754109,23.5124,213,19.3501,6.38977,-0.1,2037
0,0,0,3.07107e-06,6.93779e-07,-0.0153192,21.6912,21.6879,0.126486,12.0591,22.9669,21.6901,-1.15139,23.5059,213,19.3501,7.34886,-0.1,2038
0,0,0,6.30314e-06,-4.64053e-07,-0.0164479,19.8459,19.8364,-3.31188,12.1789,20.4412,19.8457,-3.91648,24.0655,213,17.9417,4.67454,-0.1,2039
0,0,0,7.14533e-10,1.48841e-10,-0.0156127,21.1989,21.1989,-0.774455,12.1823,22.3945,21.1989,-1.97005,23.7893,213,18.8115,5.62007,-0.1,2040
0,0,0,3.39906e-06,-3.14885e-07,-0.0162498,20.1627,20.1574,-2.71214,12.065,20.788,20.1619,-3.34198,23.8231,213,18.0616,6.25529,-0.1,2041
0,0,0,6.47386e-06,8.77872e-07,-0.0153993,21.5704,21.5625,-0.111832,12.0293,22.754,21.5716,-1.30458,23.4897,213,19.25,8.16441,-0.1,2042
0,0,0,1.48615e-05,-2.17751e-07,-0.0150867,22.1075,22.0863,0.853451,12.0857,23.5565,22.1057,-0.61494,23.4797,213,19.25,9.1235,-0.1,2043
0,0,0,4.68036e-10,6.78924e-11,-0.0159478,20.6487,20.6487,-1.79633,12.0686,21.4947,20.6487,-2.64237,23.7254,213,18.5001,7.84054,-0.1,2044
0,0,0,1.07022e-05,3.72814e-07,-0.0156099,21.2367,21.2222,-0.747811,12.2367,22.4739,21.2367,-1.99954,23.8789,213,18.9734,10.0705,-0.1,2045
0,0,0,1.08714e-05,-1.10248e-07,-0.0156545,21.1633,21.1478,-0.884221,12.2559,22.3874,21.164,-2.12446,23.9236,213,18.9734,11.0295,-0.1,2046
0,0,0,9.75055e-06,-3.88091e-08,-0.0165531,19.6844,19.6706,-3.62638,12.2826,20.3046,19.6845,-4.26049,24.261,213,18.1234,9.60305,-0.1,2047
0,0,0,1.42818e-05,-3.59353e-07,-0.0154053,21.5823,21.5617,-0.119381,12.2781,23.0004,21.5799,-1.55568,23.8776,213,19.2336,11.9815,-0.1,2048
0,0,0,5.85556e-06,4.47988e-07,-0.0155401,21.3367,21.329,-0.542851,12.1224,22.5149,21.338,-1.72998,23.6783,213,19.2336,12.9406,-0.1,2049
0,0,0,8.51422e-06,-9.08549e-08,-0.0164407,19.8652,19.8531,-3.28551,12.2079,20.4916,19.8653,-3.92416,24.1087,213,18.107,11.5019,-0.1,2050
0,0,0,4.17183e-06,9.19507e-07,-0.0153846,21.5877,21.5831,-0.0705888,12.084,22.8412,21.5859,-1.32682,23.5654,213,19.3417,13.7665,-0.1,2051
0,0,0,1.87989e-05,2.9827e-07,-0.0151527,22.012,21.986,0.659585,12.0675,23.3878,22.0168,-0.747075,23.4794,213,19.3417,14.7256,-0.1,2052
